Title,Link,Published Date,Arthur,Category
中国品牌如何迎头赶上世界级对手,https://prophet.cn/2013/06/hello-world/,"Thu, 06 Jun 2013 23:41:44 +0000",David Aaker,新闻
Learning from a Life Lived Abroad,https://prophet.cn/?p=80,"Mon, 17 Oct 2016 22:37:58 +0000",Julie Purser,思维
Prophet铂慧获选为美国最佳管理咨询公司之一,https://prophet.cn/2016/10/forbes-list-of-americas-best-management-consulting-firms/,"Tue, 18 Oct 2016 09:28:55 +0000",prophet,新闻
春节品牌推广：不再专属于中国品牌,https://prophet.cn/2016/10/china-brand-marketing-strategy-for-chinese-new-year/,"Tue, 18 Oct 2016 09:42:23 +0000",Jay Milliken,新闻
逐鹿中原: 擒龙不铩羽,https://prophet.cn/2016/10/%e9%80%90%e9%b9%bf%e4%b8%ad%e5%8e%9f-%e6%93%92%e9%be%99%e4%b8%8d%e9%93%a9%e7%be%bd/,"Wed, 26 Oct 2016 09:56:01 +0000",prophet,新闻
迪士尼与万达：中国市场的品牌之争 (彭博),https://prophet.cn/2016/10/disney-versus-wanda-battle-brands-china/,"Wed, 26 Oct 2016 09:58:09 +0000",Jay Milliken,新闻
针对农历新年的营销，是品牌在香港市场创造更高营收的重要途径,https://prophet.cn/2016/10/study-chinese-new-year-promotions-crucial-brands-reach-higher-sales-hk/,"Wed, 26 Oct 2016 10:03:14 +0000",prophet,新闻
品牌与体验：向巨星碧昂丝学习，写作品牌风格指南,https://prophet.cn/2016/10/brand-experience-write-style-guide-emulate-beyonce/,"Wed, 26 Oct 2016 10:04:31 +0000",Brian Solis,思维
夏普还值得被拯救吗？,https://prophet.cn/2016/10/sharp-brand-worth-saving/,"Wed, 26 Oct 2016 10:06:51 +0000",John Holton,思维
Prophet品牌相关性指数,https://prophet.cn/2016/10/bri/,"Fri, 28 Oct 2016 17:01:53 +0000",prophet,新闻
Prophet铂慧年度「Prophet for Nonprofit」 助香港非营利机构解决品牌战略及发展挑战,https://prophet.cn/2016/11/p4np/,"Tue, 01 Nov 2016 18:18:35 +0000",prophet,新闻
忠诚计划已不合时宜？ (彭博),https://prophet.cn/?p=410,"Mon, 25 Jul 2016 19:45:28 +0000",Jay Milliken,新闻
Disney Versus Wanda: the Battle of the Brands in China,https://prophet.cn/?p=412,"Wed, 15 Jun 2016 19:46:48 +0000",Jay Milliken,新闻
迪士尼在中国的奇幻品牌体验 | Prophet铂慧,https://prophet.cn/2016/07/disney-magical-brand-experience-china/,"Sun, 10 Jul 2016 19:48:14 +0000",Jay Milliken,新闻
消费者调查：支付宝、微信成国内相关性最高品牌,https://prophet.cn/2016/11/chinese-consumers-alipay-wechat-relevant-brands/,"Thu, 03 Nov 2016 04:13:05 +0000",prophet,新闻
支付宝、微信列Prophet铂慧中国地区品牌相关性指数首两位,https://prophet.cn/2016/11/%e6%94%af%e4%bb%98%e5%ae%9d%e3%80%81%e5%be%ae%e4%bf%a1%e5%88%97prophet%ef%bc%88%e5%8d%9a%e4%b8%b0%ef%bc%89%e4%b8%ad%e5%9b%bd%e5%9c%b0%e5%8c%ba%e5%93%81%e7%89%8c%e7%9b%b8%e5%85%b3%e6%80%a7%e6%8c%87/,"Thu, 03 Nov 2016 04:30:41 +0000",Jay Milliken,新闻
调查显示支付宝、微信与中国消费者生活“息息相关”,https://prophet.cn/2016/11/%e8%b0%83%e6%9f%a5%e6%98%be%e7%a4%ba%e6%94%af%e4%bb%98%e5%ae%9d%e3%80%81%e5%be%ae%e4%bf%a1%e4%b8%8e%e4%b8%ad%e5%9b%bd%e6%b6%88%e8%b4%b9%e8%80%85%e7%94%9f%e6%b4%bb%e6%81%af%e6%81%af%e7%9b%b8/,"Thu, 03 Nov 2016 08:38:54 +0000",Jacqueline Alex Thng,新闻
